Content,Label
terremoto  sacude a peru esta maana Emisora Miradiofm ,neg
terremoto ancora e le linee saltano,pos
Scossa lunghissima appena percepita a Roma ore  la redazione oscillava terremoto,pos
Sincomillas Estoy de acuerdo con tucomercioaldia el cdigo no es el problema Unico q cambiara ser el aumentar la velocidad de diseo para vientos   mph como quiera lo q domina aqu en PR son las cargas de terremoto q son mucho ms q las d viento Adems cambiar ley certificacin,neg
SarukaRodriguez ExactamenteMuchos Manabitas han sido idiotizados por alguien que solo utilizò su facilidad de convencimiento en sus palabras q solo quedaron en eso mas no hubo el cumplimiento de sus ofertas Ej La nefasta secuela que dejò el terremotoal final no hicieron casi nada,neg
FANCULO IL TERREMOTO  terremoto,pos
Fuerza Papua New Guineatodo nuestro apoyo PapuaNewGuinea Terremoto Fuerza ,neg
 Ed ora lattività di ScholasArte è arrivata alla città di Tlalpan Messico Zona colpita dal terremoto ,neg
terremoto ancora terremoto luuungo,pos
Il mio fidanzato è un segugio sè svegliato  minuti prima e ha sentito la scossa qualche secondo prima di me Terremoto Milano,pos
La Ciudad de México se hundi  centmetros tras el terremoto del  de septiembre cientficas   Aristegui Noticias ,neg
Impresionante e impresentable Cada da para que por fin llegue el  de marzo se hace eternocomo klaus Smith Hebbel Chile pas por otro terremotoel de la Sra Bachelet amp Cia ,neg
Un terremoto en Taiwn deja cientos de personas atrapadas en edificios    ,neg
Altra scossa di terremoto intensa a Maranello niente danni speriamo bene per la bassa,pos
terremoto anche sulla collina di ziano piacentino,pos
ODDIO UNA SCOSSA DI TERREMOTOOO terremoto,pos
TERREMOTO DI MERDA FANCULO CAZZO,pos
Sismlogos pronostican dnde ocurrir el prximo terremoto del siglo Sismo ,neg
Urka che scossa terremoto in Veneto sentita benissimo Spero che non abbia fatto danni,pos
dios hubo un terremoto en turqua y grecia espero que ya todos estén bien y aunque hay daos puedan levantarse lo antes posible,neg
terremoto sentito pure a Chieti,pos
Qui Roma Montesacro ore  scossa terremoto intensa,pos
ManoloRodasB IESSec Ni si quiera han construido el Edificio Principal del IESS en Manabi q se cay en el terremoto y cobraron el seguro Destruyeron garaje y jardn del Hospital del IESS de Portoviejo para construirlo y no tenan permisos y se les prohibi hacerlo ah,neg
No hay mencin al F del  y vctimas en los medios Un terremoto grado  a  energa de bombas atmicas ap Cooperativa,neg
Terremoto en la DC panelista histrico de la falange renunci al partido en vivo y en directo en Estado ,neg
Terremoto due fortissime scosse in Papua Nuova Guinea MAPPE e DATI ,neg
Basta terremoto Oggi è stato un incubo,pos
Avvertito un forte terremoto ad Atene ,neg
Ultimo minuto México terremoto  ,neg
Piccola  di terremoto a Conegliano Treviso  tremava tutto il letto,pos
Cè appena stata una piccola scossa di terremoto tutti i miei amici sono sclerati e poi ci sono io che non lho manco sentita ,pos
A Roma  il terremoto ci mancava,pos
El desplome de un helicptero militar en Oaxaca mata a  personas que se protegan del terremoto ,neg
ElAsegurador El terremoto del  de septiembre de  posterg momentneamente la realizacin de las tradicionales jornadas de reaseguro de Swiss Re Hoy se retoma nuevamente la dinmica del evento Detalles de la informacin El Asegurador del  de enero,neg
Ancora terremoto  Basta,pos
ZONE TERREMOTO che bella iniziativa incollo qui passate parola  Vista la Gravità della situazione mettiamo a ,pos
FOTO   ZN durante o evento de caridade em prol as vitimas de terremoto de Pohang  cr LABOUMCOM ,neg
terremoto live a Skytg,pos
Terremoto sentito forte a Roma,pos
rojasale Terre terre terre terre terre terre terremoto pa tu cola ,neg
Lampadari che oscillano in via Solferino terremoto,pos
Sismlogos pronostican dnde ocurrir el prximo terremoto del siglo Sismo ,neg
scritturebrevi lipogiro            Guanciale  Note del guanciale Giappone  Terremoto Amatrice Autrice  attrice  Ricetta Amatriciana Pasta Casta  Rango Fango  Frango Fregio Frigio Grigio Grigio  Grigia                                                 gricia,neg
scossa di terremoto Paura vera,pos
Queda de helicptero no México aps terremoto deixou  mortos ,neg
Terremoto avvertito forte e chiaro a Roma aspettiamo i dati INGVterremoti,pos
adnradiochile Fue terremoto  Como kresta no siguen bien la noticia y siguen dando reporte sea como no es Stgo Que atroz el centralismo,neg
Lo avete sentito in troppe zone  Terremoto,pos
ivanlopezuvalle Jajaja a ver sino me agarra un Terremoto esperemos que torosNL pueda ganar en NuevoLaredo,neg
Questa volta lho sentito anchio   terremoto,pos
uno cerca di non pensarci e poi  nuova scossa terremoto padova ,pos
Oddio il terremoto lo sento in auto da fermo,pos
EN PLENA EMERGENCIA DE TERREMOTO SE ACCIDENTA UNHELICOPTERO Y ESTOS IMBECILES QUIEREN QUE DISFRUTEN COMO SE ACCIDENTA Y PIERDE LA VIDA UN RESCATISTA ElInformanteMX  Periodismo estupido ,neg
Sismlogos pronostican dnde ocurrir el prximo terremoto del siglo sismo ,neg
Informate  Per Terremoto de  sacude localidad costera de Acari ,neg
UltimaHora Un fuerte terremoto sacude México  Internacional  EL PAS ,neg
Il peggiore dei risvegli una nave alla deriva   roma terremoto,pos
Terremoto in Vaticano lettera censurata monsignor Viganò si è dimesso  ,neg
ora  scossa di terremoto a Roma,pos
Terremoto forte scossa nel centro Italia Avvertita anche a Roma ,pos
Capperi che scossa terremoto,pos
Um forte terremoto atingiu o Mar Egeu nesta sextafeira  e foi sentido na Turquia e na Grécia Pelo menos quatro pessoas morreram e  ficaram feridas segundo a agncia turca responsvel pelo atendimento aps os desastres Uma das vtimas morreu afogada ,neg
Ho appena avvertito una scossa di terremoto È stato terribile Ho,pos
ppkamigo Sr PPK El terremoto ha sido a las  amHace SEIS HORAS No le parece que es ligeramente TARDEAunque nunca es tarde Siga noms,neg
Ma che cè stato un terremoto,pos
Tutto bene a Roma terremoto,pos
Nuova scossa di terremoto Notte agitata,pos
Forte scossa di terremoto chiaramente avvertita a Roma,pos
che legnata anche adesso terremoto,pos
Cacchio di nuovo il terremoto,pos
Mio Dio il terremoto Una scossa fortissima Panico,pos
Scossa di terremoto paura,pos
Ay cabrn Mexicano capta en vivo el terremoto en Ciudad de México ,neg
terremoto percepito anche a Vasto,pos
VIDEO La impactante cronologa del terremoto de  en México Documental ,neg
tutto il nord ditalia qui a bologna davvero forte il terremoto,pos
Adesso non facciamo mila stati sul terremoto nehogiàlettitroppi,pos
El doble atentado en Irak el terremoto en Per y la visita de ElPapaEnChile  ,neg
Terremoto magnitudo  in Indonesia ,neg
Appena sentita bella scossa di terremoto Azz che botta,pos
Ancora scosse Prego per lEmilia terremoto,pos
ferrara Terremoto sentito fortissimo piano terra,pos
Quarto piano Cane che ringhia e vai di scossa terremoto milano,pos
VIDEO La impactante cronologa del terremoto de  en México ,neg
VIDEO La impactante cronologa del terremoto de  en México Documental ,neg
terremoto forte a Bologna Strong esrthquake in Bomogna,pos
gecco Minchia qua a Vicenza pure Mi sa che è stata una scossa della madonna terremoto,pos
FORTE SCOSSA DI TERREMOTO ZONA GIA COLPITA MARCHE ABRUZZO LAZIO,pos
Cinco elementos que debes conocer sobre el terremoto que afect al Caribe  Video e Infografa ,neg
TERREMOTO PAPUANUOVA GUINEA scossa di magnitudo  a Tari tutti i dettagli ,neg
Terremoto si è sentita forte anche a Perugia,pos
Terremoto a bologna,pos
Anche qui a Gatteo in Romagna si è sentita la scossa di terremoto di poco fa,pos
 Un potente y devastador terremoto de magnitud  o ms estara por ocurrir en el Himalaya ,neg
terremoto a Milano  che botta,pos
Vabbè ragazzi offro un posto letto o due a chi vuole sfollare a Milano Se serve altro chiedete terremoto,pos
Forte scossa di terremoto a Roma Ho sentito le mura traballare,pos
Lho sentito vero terremoto,pos
No existe alerta de tsunami en Colombia por terremoto hondureo  ,neg
